tender_no.,award_date,tender_description,agency,awarded_amt,tender_detail_status,supplier_name
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,210000,Awarded to Suppliers,D-CATALYST PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,97800,Awarded to Suppliers,DESIGN SOJOURN PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,460000,Awarded to Suppliers,GOSHEN CONSULTANCY SERVICES PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,25000,Awarded to Suppliers,MINITHEORY PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,28500,Awarded to Suppliers,ONE TEAM CONSULTING PTE. LTD.
NCS000ETT15000027,2016-01-25,"INVITATION TO TENDER (ITT) FOR NCSS CENTRALLY DRIVEN BITESIZE PROJECTS FOR PRODUCTIVITY AND INNOVATION (PHASE TWO) (VWOD, Gwen)",National Council of Social Service,59925,Awarded to Suppliers,SG REHAB PTE. LTD.
NCS000ETT15000028,2016-01-13,"INVITATION TO TENDER FOR PROJECT MANAGEMENT SERVICES FOR PRESIDENTS CHALLENGE VOLUNTEER DRIVE 2016 (Comchest, Ivy)",National Council of Social Service,97750,Awarded to Suppliers,ADRENALIN GROUP PTE. LTD.
NCS000ETT15000029,2015-12-17,"INVITATION TO TENDER FOR CONTENT DEVELOPMENT AND UPDATE OF DISABILITY AWARENESS WEBSITE (SPDG, Ryan)",National Council of Social Service,0,Awarded to No Suppliers,na
NCS000ETT15000031,2016-02-04,INVITATION TO TENDER FOR DEVELOPMENT OF NATIONAL YOUTH WORK COMPETENCY FRAMEWORK IN SINGAPORE,National Council of Social Service,160000,Awarded to Suppliers,WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD.
NCS000ETT15000032,2016-02-17,INVITATION TO TENDER FOR THE PROVISION OF TRAINING COORDINATION SERVICES FOR SOCIAL SERVICE INSTITUTE,National Council of Social Service,0,Awarded to No Suppliers,na
NCS000ETT15000033,2016-01-25,INVITATION TO TENDER FOR THE PROVISION OF CHILDRENS PROGRAMMES (CHILD-MINDING) FOR SOCIAL SERVICE INSTITUTE,National Council of Social Service,155000,Awarded to Suppliers,KO'ACH CONSULTANTS PTE. LTD.
NCS000ETT15000034,2016-01-28,"EVENT MANAGEMENT SERVICES, CONFERENCE PACKAGE AND KEYNOTE SPEAKER FOR WE ARE ABLE! 2016",National Council of Social Service,50680,Awarded to Suppliers,MARINA BAY SANDS PTE. LTD.
NCS000ETT15000034,2016-01-28,"EVENT MANAGEMENT SERVICES, CONFERENCE PACKAGE AND KEYNOTE SPEAKER FOR WE ARE ABLE! 2016",National Council of Social Service,56740,Awarded to Suppliers,SKYY CREATIVE CONSULTANT PTE. LTD.
NCS000ETT15000037,2016-06-27,"INVITATION TO TENDER FOR THE SUPPLY, DELIVERY, INSTALLATION, TESTING, COMMISSIONING OF A FULLY OPERATIONAL SUN RAY SYSTEM WITH AN OPTION FOR MAINTENANCE FOR NATIONAL COUNCIL OF SOCIAL SERVICE (ICS, Anthony)",National Council of Social Service,608908,Awarded to Suppliers,DXC TECHNOLOGY SINGAPORE PTE. LTD.
NCS000ETT15000039,2016-03-29,"INVITATION TO TENDER FOR LONGITUDINAL STUDY OF THE IMPACT OF SHARITY PROGRAMME ON STUDENTS (Comchest, June)",National Council of Social Service,69000,Awarded to Suppliers,NEXUS LINK PTE. LTD.
NCS000ETT15000040,2016-04-18,"INVITATION TO TENDER FOR CONSULTANCY AND IMPLEMENTATION OF VOLUNTEER MANAGEMENT FRAMEWORK AND REDESIGNED JOBS FOR VOLUNTEERS (SMCPD, Elaine)",National Council of Social Service,300000,Awarded to Suppliers,ERNST & YOUNG ADVISORY PTE. LTD.
NCS000ETT16000001,2016-04-01,"INVITATION TO TENDER FOR THE ENGAGEMENT OF A PUBLIC RELATIONS AGENCY FOR NCSS (Corp Com, Brendan)",National Council of Social Service,188200,Awarded to Suppliers,OGILVY & MATHER (SINGAPORE) PRIVATE LIMITED
NCS000ETT16000002,2016-04-11,"INVITATION TO TENDER FOR CONTENT DEVELOPMENT AND UPDATE OF DISABILITY AWARENESS WEBSITE (SPDG, Ryan)",National Council of Social Service,43600,Awarded to Suppliers,DISABLED PEOPLE'S ASSOCIATION
